epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1768.57,0.91636,2.06516,0.79059,1.16646,0.87008,0.68243,0.7708,0.60022,0.86746,0.68144,0.76135,0.48863,1.08074,2.1148,0.98872,1.28926,0.008086,0.008086,0.008086
31,1816.38,0.91705,2.05601,0.78913,1.16608,0.83678,0.69841,0.77374,0.60011,0.83067,0.69338,0.75875,0.49226,1.05513,2.11008,0.93074,1.27793,0.00802,0.00802,0.00802
32,1864.67,0.91875,2.07673,0.7887,1.16791,0.86168,0.73799,0.79939,0.6225,0.84448,0.73332,0.78288,0.50982,1.02462,2.03141,1.01011,1.24843,0.007954,0.007954,0.007954
33,1912.36,0.90596,2.03998,0.78564,1.16175,0.81721,0.72191,0.77248,0.59579,0.81396,0.70672,0.7588,0.49198,1.04015,2.15993,0.95672,1.26406,0.007888,0.007888,0.007888
34,1960.47,0.91315,2.072,0.78042,1.15346,0.87438,0.70336,0.78093,0.60479,0.85885,0.68767,0.75497,0.49397,1.02567,2.04987,0.9554,1.27376,0.007822,0.007822,0.007822
35,2008.37,0.87405,1.9649,0.73984,1.14192,0.88537,0.70039,0.7861,0.61815,0.87119,0.68567,0.76583,0.49265,1.02855,2.04767,0.89496,1.27242,0.007756,0.007756,0.007756
36,2056.51,0.88167,1.99513,0.73581,1.13678,0.84987,0.71196,0.77758,0.61615,0.84307,0.7083,0.76616,0.50916,1.03248,2.02577,0.91264,1.27086,0.00769,0.00769,0.00769
37,2104.74,0.88901,1.9856,0.75614,1.14234,0.85569,0.72646,0.79155,0.62343,0.86505,0.71463,0.78105,0.50789,1.03282,2.05062,0.94898,1.28118,0.007624,0.007624,0.007624
38,2152.97,0.87215,1.95025,0.73144,1.12857,0.88192,0.71763,0.79981,0.63421,0.87165,0.71061,0.77888,0.51682,0.99399,2.02142,0.89576,1.23559,0.007558,0.007558,0.007558
39,2201,0.86383,1.92604,0.72406,1.13641,0.84928,0.73766,0.79271,0.63624,0.84035,0.73057,0.77936,0.51468,1.01172,2.0916,0.93356,1.25341,0.007492,0.007492,0.007492
40,2248.82,0.85178,1.93609,0.71288,1.12024,0.9425,0.7019,0.80985,0.64749,0.86048,0.74267,0.80179,0.52703,0.97307,2.00813,0.89104,1.2287,0.007426,0.007426,0.007426
41,2297.34,0.87016,1.92511,0.71695,1.11421,0.87042,0.66419,0.75718,0.59546,0.86919,0.65484,0.73969,0.48461,1.07446,2.24251,1.0215,1.29605,0.00736,0.00736,0.00736
42,2345.27,0.84219,1.88047,0.67966,1.11099,0.89387,0.72904,0.80458,0.65035,0.89237,0.7284,0.79892,0.53846,0.95028,1.97781,0.87193,1.19568,0.007294,0.007294,0.007294
43,2393.5,0.83659,1.89421,0.69098,1.11101,0.91233,0.72709,0.81622,0.65648,0.91354,0.72521,0.80874,0.53966,0.96995,1.92496,0.83493,1.26077,0.007228,0.007228,0.007228
44,2441.34,0.83614,1.86505,0.68043,1.11134,0.88508,0.72097,0.79428,0.63097,0.87332,0.72125,0.77928,0.50805,1.01497,2.02264,0.8884,1.25494,0.007162,0.007162,0.007162
45,2664.48,0.83504,1.86719,0.68388,1.10642,0.8588,0.77321,0.82331,0.66897,0.88813,0.74105,0.8104,0.54964,0.9412,1.94009,0.8211,1.19728,0.007096,0.007096,0.007096
46,2712.38,0.8272,1.87984,0.67428,1.10601,0.89802,0.74353,0.82272,0.66501,0.89873,0.73379,0.80738,0.54382,0.93566,1.94545,0.80882,1.19972,0.00703,0.00703,0.00703
47,2760.24,0.82273,1.85565,0.6699,1.09648,0.9006,0.74274,0.818,0.65693,0.89272,0.73817,0.80362,0.53851,0.96756,1.95561,0.86566,1.20525,0.006964,0.006964,0.006964
