epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,6757.47,0.52908,1.25274,0.38993,0.93572,0.94167,0.84026,0.89307,0.79019,0.95071,0.82145,0.88145,0.67338,0.67528,1.56977,0.628,1.04002,0.001618,0.001618,0.001618
129,6805.82,0.53727,1.27846,0.39547,0.93774,0.95316,0.82562,0.89114,0.7898,0.94373,0.81786,0.8792,0.67031,0.67592,1.58203,0.64878,1.0472,0.001552,0.001552,0.001552
130,6853.95,0.54165,1.25516,0.38975,0.94479,0.93706,0.82794,0.88857,0.78361,0.94348,0.8197,0.87807,0.66908,0.68436,1.5784,0.63249,1.05465,0.001486,0.001486,0.001486
131,6901.86,0.52498,1.22551,0.3862,0.94265,0.93626,0.83875,0.89031,0.78805,0.92993,0.83373,0.87956,0.67561,0.68045,1.5603,0.64062,1.05299,0.00142,0.00142,0.00142
132,6950.3,0.51696,1.22714,0.37475,0.93088,0.94096,0.82261,0.88723,0.78603,0.9337,0.81575,0.87649,0.67501,0.68321,1.57791,0.6501,1.06136,0.001354,0.001354,0.001354
133,6998.37,0.53446,1.26452,0.39347,0.93738,0.95116,0.81745,0.88758,0.7843,0.9464,0.81264,0.87657,0.67362,0.68198,1.55957,0.65245,1.05378,0.001288,0.001288,0.001288
134,7046.34,0.52056,1.22818,0.38142,0.94035,0.94806,0.83051,0.8903,0.7887,0.94278,0.82695,0.87944,0.66812,0.68263,1.56482,0.64386,1.05938,0.001222,0.001222,0.001222
135,7094.54,0.51266,1.20671,0.37393,0.92901,0.93808,0.83596,0.88994,0.78874,0.9274,0.84012,0.88112,0.67675,0.67263,1.56842,0.62872,1.04967,0.001156,0.001156,0.001156
136,7142.58,0.51027,1.21807,0.3747,0.93397,0.92268,0.84353,0.88956,0.78907,0.91785,0.84106,0.88128,0.67775,0.67035,1.55106,0.63151,1.04329,0.00109,0.00109,0.00109
137,7190.62,0.51164,1.21155,0.3742,0.93003,0.94021,0.83227,0.88995,0.79167,0.93567,0.8301,0.88251,0.6771,0.66672,1.56834,0.63468,1.04911,0.001024,0.001024,0.001024
138,7238.72,0.52435,1.25773,0.38306,0.93359,0.95448,0.83497,0.89306,0.79307,0.9487,0.832,0.88274,0.67979,0.6611,1.54374,0.6237,1.04267,0.000958,0.000958,0.000958
139,7286.63,0.49896,1.19129,0.36551,0.92714,0.94297,0.83354,0.89326,0.79239,0.93956,0.83197,0.88465,0.67661,0.66778,1.56825,0.62604,1.04328,0.000892,0.000892,0.000892
140,7334.43,0.50048,1.18082,0.364,0.93091,0.91905,0.85294,0.89101,0.79146,0.91258,0.84745,0.88232,0.67724,0.66458,1.55929,0.625,1.04081,0.000826,0.000826,0.000826
141,7384.35,0.504,1.16699,0.3712,0.91171,0.95275,0.82508,0.88432,0.78182,0.94885,0.82025,0.87346,0.65667,0.68132,1.62209,0.63722,1.05142,0.00076,0.00076,0.00076
142,7429.93,0.47898,1.1087,0.35327,0.89964,0.93808,0.84302,0.89252,0.79144,0.93057,0.83689,0.8804,0.67334,0.66359,1.57873,0.61995,1.04822,0.000694,0.000694,0.000694
143,7475.64,0.45723,1.07517,0.335,0.88931,0.95026,0.83733,0.89423,0.79521,0.94292,0.8315,0.88369,0.67802,0.65402,1.56901,0.62098,1.03728,0.000628,0.000628,0.000628
144,7521.21,0.46703,1.08187,0.34621,0.89168,0.93412,0.8363,0.88978,0.79293,0.92845,0.82922,0.87961,0.6756,0.65467,1.5745,0.64091,1.04062,0.000562,0.000562,0.000562
145,7566.87,0.45307,1.07276,0.33455,0.88843,0.94199,0.83874,0.89227,0.79532,0.93509,0.83254,0.88321,0.67827,0.64699,1.563,0.62455,1.03422,0.000496,0.000496,0.000496
146,7612.69,0.44189,1.04877,0.3291,0.87914,0.94703,0.82929,0.88815,0.78833,0.94058,0.82215,0.87955,0.67169,0.66251,1.59637,0.63523,1.04008,0.00043,0.00043,0.00043
147,7658.42,0.44461,1.0525,0.32507,0.87334,0.963,0.82566,0.89183,0.79536,0.95673,0.81963,0.884,0.68072,0.64557,1.55549,0.61905,1.0339,0.000364,0.000364,0.000364
148,7704.34,0.43854,1.04611,0.3256,0.87943,0.94301,0.83665,0.89118,0.79259,0.93905,0.8315,0.67883,0.65075,1.56237,0.62045,1.03466,082895,0.8.000298,0.000298,0.000298
149,7749.95,0.44694,1.06787,0.33011,0.87989,0.93739,0.8452,0.89136,0.79394,0.93015,0.83637,0.88249,0.68483,0.64995,1.55866,0.62126,1.0356,0.000232,0.000232,0.000232
150,7795.7,0.43531,1.05671,0.3228,0.87752,0.93453,0.85045,0.89123,0.79311,0.93305,0.83801,0.88271,0.68237,0.64845,1.55639,0.62188,1.035,0.000166,0.000166,0.000166
